ID,AREA,MCD,COUNTY,MCD_NAME,TYPE,POP2000,SRTSFUNDED,SRTSUNFUND,STIPFUNDED,STIPUNFUND,TTLFUNDED,TTLUNFUND,POINT_X,POINT_Y
1287270.00000000000,2.53000000000,2704562104,27045,Spring Valley,City,2518.00000000000,1,0,2,0,3,0,-92.39009502970,43.68667731320
3464205.00000000000,36.02000000000,2704521860,27045,Forestville,Township,386.00000000000,0,0,0,1,0,1,-92.26940836600,43.63076311150
3464322.00000000000,35.56000000000,2704509910,27045,Carimona,Township,273.00000000000,0,0,0,1,0,1,-92.14982267840,43.63033593970
3471771.00000000000,2.44000000000,2704552450,27045,Preston,City,1429.00000000000,0,0,0,1,0,1,-92.08081399920,43.66910406840
3478672.00000000000,33.94000000000,2710920132,27109,Eyota,Township,448.00000000000,0,0,1,0,1,0,-92.25873016420,43.97754405420
3478771.00000000000,1.68000000000,2710920114,27109,Eyota,City,1644.00000000000,1,0,0,1,1,1,-92.23212124280,43.98831850280
3544852.00000000000,22.62000000000,2705533884,27055,La Crescent,Township,1431.00000000000,0,0,0,1,0,1,-91.34384259570,43.81750120930
3545035.00000000000,3.32000000000,2705533866,27055,La Crescent,City,4979.00000000000,2,0,3,0,5,0,-91.30152784300,43.82921732890
3545240.00000000000,35.64000000000,2710967270,27109,Viola,Township,555.00000000000,0,0,0,1,0,1,-92.25897323080,44.06421173190
3595775.00000000000,87.20000000000,2713717000,27137,Duluth,City,86918.00000000000,8,1,9,0,17,1,-92.11957802560,46.78191842490
3550880.00000000000,0.92000000000,2715718530,27157,Elgin,City,827.00000000000,0,1,0,0,0,1,-92.24618167960,44.11883352080
3550943.00000000000,34.40000000000,2715718548,27157,Elgin,Township,786.00000000000,0,0,0,1,0,1,-92.28930219780,44.15077430940
3589164.00000000000,34.28000000000,2713728682,27137,Hermantown,City,7448.00000000000,1,0,0,0,1,0,-92.24068226760,46.80579885810
3585684.00000000000,24.10000000000,2716971032,27169,Winona,City,27106.00000000000,0,1,0,1,0,2,-91.66028567370,44.04719837090
3585952.00000000000,2.99000000000,2713752630,27137,Proctor,City,2852.00000000000,2,1,0,0,2,1,-92.22751078920,46.74238412100
3561435.00000000000,29.37000000000,2715734028,27157,Lake,Township,409.00000000000,0,0,0,1,0,1,-92.24963430880,44.39455257990
3556467.00000000000,35.80000000000,2715769178,27157,West Albany,Township,439.00000000000,0,0,0,1,0,1,-92.24980339110,44.32388153620
2198216.00000000000,3.70000000000,2715734172,27157,Lake City,City,4333.00000000000,0,1,0,1,0,2,-92.27710823920,44.44075909260
2198294.00000000000,0.85000000000,2704934172,27049,Lake City,City,620.00000000000,0,0,0,1,0,1,-92.28909533540,44.46498622370
160564.00000000000,35.15000000000,2711930590,27119,Huntsville,Township,562.00000000000,0,0,1,0,1,0,-96.93107563860,47.89019696360
239549.00000000000,35.22000000000,2706950452,27069,Percy,Township,48.00000000000,0,0,0,1,0,1,-96.60126452600,48.76065630580
148181.00000000000,1.39000000000,2710700172,27107,Ada,City,1657.00000000000,0,1,0,0,0,1,-96.51663554520,47.29907379100
109544.00000000000,0.25000000000,2710707030,27107,Borup,City,91.00000000000,0,0,1,0,1,0,-96.50575202890,47.18027419380
109601.00000000000,5.89000000000,2711917612,27119,East Grand Forks,City,7535.00000000000,4,1,8,2,12,3,-97.01375722030,47.92830776610
100474.00000000000,1.51000000000,2702724182,27027,Glyndon,City,1049.00000000000,1,1,0,0,1,1,-96.57963559280,46.87171320070
66883.00000000000,2.46000000000,2716707462,27167,Breckenridge,City,3559.00000000000,0,1,1,2,1,3,-96.58507573270,46.26595954930
66949.00000000000,21.04000000000,2716707480,27167,Breckenridge,Township,234.00000000000,0,0,2,0,2,0,-96.54953930270,46.23725147490
182460.00000000000,5.13000000000,2711913870,27119,Crookston,City,8211.00000000000,1,1,3,0,4,1,-96.60620435140,47.77467727140
182692.00000000000,37.25000000000,2711913888,27119,Crookston,Township,534.00000000000,0,0,1,1,1,1,-96.53341807370,47.80843317600
182831.00000000000,35.44000000000,2711919862,27119,Euclid,Township,149.00000000000,0,0,1,0,1,0,-96.67659302430,47.97792554740
3101977.00000000000,72.41000000000,2709532516,27095,Kathio,Township,1309.00000000000,0,0,1,0,1,0,-93.74732025510,46.15679489800
2908167.00000000000,36.23000000000,2708962266,27089,Spruce Valley,Township,238.00000000000,0,0,1,0,1,0,-96.18924741300,48.41289460380
2908235.00000000000,0.48000000000,2708941912,27089,Middle River,City,319.00000000000,0,1,1,0,1,1,-96.16169408470,48.43489551970
2900885.00000000000,0.89000000000,2708945520,27089,Newfolden,City,362.00000000000,0,0,2,0,2,0,-96.32970024530,48.35581514010
